date,month,quarter,season,doy,global_lux,direct_lux,diffuse_lux,pressure,snow,temp,temp_max,temp_min,ts,dew_point,wind_speed,wind_direction,uv_index,albedo,optical_depth_55,optical_depth_84,clearness,precip,humidity_specific,humidity_relative,cloud_amt,cloud_depth,water
2012-07-27,Jul,3,Summer,209,55320.12,65751.5,17592.87,98.94,0,27.9,33.9,22.97,28.47,20.72,0.89,221.38,2.35,0.12,0.46,0.3,0.68,0.4,15.62,68.81,25.79,2.46,3.95
2012-07-28,Jul,3,Summer,210,56601.48,77898.07,16284.39,99.17,0,27.1,33.69,21.22,27.6,18.73,1.3,225.5,2.38,0.16,0.34,0.22,0.7,0.32,13.79,64.5,8.95,3.88,3.09
2012-07-29,Jul,3,Summer,211,42081.25,28003.16,27041.3,99.23,0,26.05,32.98,18.75,26.73,17.3,1.05,57,1.78,0.16,0.26,0.17,0.7,0,12.51,62.31,47,3.4,3.66
2012-07-30,Jul,3,Summer,212,47790.88,34716.47,26845.38,98.96,0,26.19,33.26,20.73,26.28,18.92,0.91,167.94,2.12,0.16,0.3,0.21,0.69,5.9,13.98,66.38,59.4,5.33,4.44
2012-07-31,Jul,3,Summer,213,57000.69,83962.76,16496.67,98.79,0,28.44,34.64,21.67,28.56,20.8,1.16,130.19,2.34,0.15,0.31,0.2,0.7,2.55,15.62,66.5,26.12,3.59,3.41
2012-08-01,Aug,3,Summer,214,51261.59,54934.92,20659.05,98.76,0,29.33,37.25,22.39,29.76,21.37,1.27,257.06,2.05,0.12,0.39,0.25,0.68,3,16.24,66.31,24.1,4.88,3.58
2012-08-02,Aug,3,Summer,215,56310.84,79260.72,16273.52,98.71,0,28.9,36.06,22.28,29.72,21.69,0.99,221.81,2.3,0.14,0.31,0.2,0.7,2.99,16.54,68.56,30.46,NA,3.64
2012-08-03,Aug,3,Summer,216,34972.94,13442.7,26611.02,98.8,0,26.94,32.62,22.69,27.19,22.27,1.95,181.56,1.48,0.13,0.7,0.48,0.62,4.11,17.09,77.44,80.09,10.98,5.12
2012-08-04,Aug,3,Summer,217,29334.47,14866.98,20016.97,99.13,0,28.17,34.35,24.07,28.45,22.98,1.87,191.44,1.2,0.12,0.73,0.5,0.62,7.4,17.82,75.44,83.02,16.41,4.95
2012-08-05,Aug,3,Summer,218,19637.31,5170.41,16510.44,99.41,0,26.01,29.11,23.61,26.05,23.45,1.7,194,0.82,0.14,0.64,0.44,0.63,11.24,18.25,86.38,98.75,13.55,5.24
2012-08-06,Aug,3,Summer,219,40727.26,16337.66,31003.93,99.25,0,27.36,32.66,22.69,27.95,21.72,0.52,136.5,1.84,0.15,0.47,0.3,0.67,2.51,16.48,73.94,73.93,3.3,4.59
2012-08-07,Aug,3,Summer,220,53700.2,74102.86,18197.79,99.02,0,27.3,33.41,22.09,27.9,20.54,0.9,59.81,2.16,0.14,0.26,0.16,0.7,0.44,15.32,69.5,9.6,3.71,2.98
2012-08-08,Aug,3,Summer,221,55066.56,77056.82,15097.11,99.03,0,28.15,34.95,21.67,28.73,18.98,0.71,98.44,2.12,0.13,0.28,0.18,0.7,0.23,13.92,61.25,32.73,1.91,2.64
2012-08-09,Aug,3,Summer,222,41398.89,48689.82,14669.94,98.71,0,26.69,31.99,21.84,27.17,20.15,1.51,193.25,1.73,0.15,0.38,0.24,0.68,9,15.01,69.25,51.72,10.09,3.66
2012-08-10,Aug,3,Summer,223,44333.04,39693.4,22357.48,98.58,0,24.57,30.23,18.52,24.92,18.8,1.5,197.12,1.78,0.14,0.4,0.26,0.69,6.38,14.04,72.81,39.85,NA,2.92
2012-08-11,Aug,3,Summer,224,55657.93,83265.57,15047.95,99.02,0,21.67,28.28,16.01,22.06,12.2,1.58,35.94,2.09,0.14,0.2,0.12,0.74,0,9.03,58.88,11.57,NA,1.46
2012-08-12,Aug,3,Summer,225,49609.43,42189.71,25510.5,99.21,0,22.8,30.22,16.92,22.92,10.7,0.77,88.38,1.86,0.14,0.23,0.15,0.72,0.02,8.18,50.31,56.63,2.51,2.02
2012-08-13,Aug,3,Summer,226,19481.52,6881.45,16131.63,98.93,0,22.29,26.25,16.79,22.4,17.98,1.62,175.88,0.73,0.14,0.63,0.41,0.65,7.86,13.37,77.56,75.7,15.89,3.73
2012-08-14,Aug,3,Summer,227,35088.55,15409.18,25603.6,98.83,0,24.73,30.81,19.68,25.48,18.77,1.03,296.5,1.43,0.12,0.68,0.43,0.66,2.77,13.79,73,77.45,7.48,3.11
2012-08-15,Aug,3,Summer,228,51997.77,73917.91,17357.27,99.06,0,24,31.43,17.4,24.82,15.15,0.78,126.62,2.05,0.14,0.3,0.2,0.7,0,10.93,62.25,27.07,NA,2.88
2012-08-16,Aug,3,Summer,229,52680.7,72695.56,15402.83,99.1,0,25.45,33.04,17.46,25.93,17.83,1.02,181.06,1.98,0.14,0.49,0.33,0.68,25.59,13.06,65.94,32.82,NA,3.45
2012-08-17,Aug,3,Summer,230,22518.2,7044.33,18553.33,98.91,0,22.43,25.32,17.9,22.56,19.9,0.84,244.88,0.94,0.14,0.91,0.61,0.62,3.13,14.83,86.12,76.55,14.07,4.54
2012-08-18,Aug,3,Summer,231,48524.66,45401.04,23016.88,98.88,0,21.46,27.91,14.35,21.98,14.13,0.84,57.06,1.92,0.15,0.23,0.15,0.73,0.02,10.25,65.5,55.79,3.94,1.98
2012-08-19,Aug,3,Summer,232,52096.49,81812.91,14736.84,98.77,0,21.87,28.79,16.07,22.01,12.78,1.12,166.81,2.02,0.16,0.19,0.12,0.73,0.05,9.4,59.94,36.79,3.61,2.15
2012-08-20,Aug,3,Summer,233,52689.95,85875.2,11870.27,99.01,0,21.4,28.78,13.84,21.62,11.48,0.88,99.88,1.95,0.16,0.13,0.09,0.73,0,8.61,57.25,9.52,3.56,2.03
2012-08-21,Aug,3,Summer,234,48427.27,62417.8,16365,99.28,0,22.94,30.09,16.3,22.55,11.83,1.02,69,1.75,0.16,0.18,0.12,0.72,0.01,8.79,52.75,16.68,4.37,1.98
2012-08-22,Aug,3,Summer,235,53544.54,85028.62,11804.88,99.42,0,24.02,31.9,16.78,24.23,13.78,0.84,162.94,1.97,0.16,0.19,0.12,0.71,0,9.95,56.06,3.66,NA,2.13
2012-08-23,Aug,3,Summer,236,52919.24,87167.33,14453.13,99.39,0,25.03,33.9,16.7,25.41,14.27,0.85,183.38,1.96,0.14,0.23,0.15,0.72,0,10.31,56.06,4.09,NA,1.75
2012-08-24,Aug,3,Summer,237,51093.71,79295.92,14363.41,99.35,0,25.34,33.42,17.8,25.68,14.81,0.79,180.94,1.92,0.15,0.28,0.18,0.7,0.01,10.62,56.25,12.18,NA,2.28
2012-08-25,Aug,3,Summer,238,45299.77,43812.32,21595.8,99.39,0,25.44,31.78,20.26,25.92,18.65,1.41,168.31,1.83,0.14,0.3,0.2,0.69,1.59,13.61,68.62,32.64,2.78,3.38
2012-08-26,Aug,3,Summer,239,49315.91,50387.18,23754.51,99.44,0,26.51,33.53,19.9,27.23,18.79,1.02,171.81,1.81,0.15,0.3,0.21,0.68,0.16,13.73,66.88,18.71,3.18,3.88
2012-08-27,Aug,3,Summer,240,50547.1,58530.35,20657.57,99.21,0,27.65,34.92,20.69,28.36,18.08,0.75,128.31,1.87,0.12,0.38,0.25,0.66,0.06,13.12,59.62,32.22,4.16,4.16
2012-08-28,Aug,3,Summer,241,42656.22,28133.27,26957.88,99.03,0,26.76,32.84,21.56,27.52,19.54,1.18,41.81,1.77,0.16,0.27,0.17,0.68,0.27,14.47,67.38,51.2,5.6,3.88
2012-08-29,Aug,3,Summer,242,53702.11,82567.21,16027.95,98.96,0,26.93,33.69,20.65,27.79,19.03,1.27,72.75,1.96,0.16,0.19,0.12,0.7,0.69,14.04,64.56,26.82,2.2,3.39
2012-08-30,Aug,3,Summer,243,35329.3,11649.73,28329.05,99.16,0,26.73,32.08,21.86,27.19,20.19,1.82,138.38,1.45,0.15,0.21,0.15,0.68,0.24,15.01,69.06,92.89,3.72,4.44
2012-08-31,Aug,3,Summer,244,31468.3,11903.06,25391.21,99.44,0,27.38,32.96,23.51,27.68,21.23,2.33,166.44,1.48,0.14,0.27,0.2,0.67,1.69,15.93,70.88,79.92,5.38,5.17
2012-09-01,Sep,3,Summer,245,34280.5,15281.22,25985.87,99.26,0,26.8,31.4,22.89,27.02,21.82,2.27,185.69,1.42,0.14,0.41,0.28,0.66,9.76,16.54,75.5,64.64,6.62,4.6
2012-09-02,Sep,3,Summer,246,21271.75,6294.27,17846.43,98.72,0,25.85,31.23,23.1,25.98,22.9,2.53,202.56,0.99,0.14,0.46,0.3,0.65,17.37,17.76,85.12,97.74,16.11,5.48
2012-09-03,Sep,3,Summer,247,13681.25,4797.89,11644.55,98.61,0,25.67,30.45,22.34,26.15,22.54,1.25,241.38,0.66,0.12,0.55,0.36,0.64,7.89,17.4,84.25,98.09,24.58,5.38
2012-09-04,Sep,3,Summer,248,34200.16,19926.62,23447.27,98.67,0,26.95,32.94,21.97,27.39,22.02,0.95,187.38,1.44,0.14,0.37,0.23,0.67,0.94,16.85,76.69,59.42,8.94,4.41
2012-09-05,Sep,3,Summer,249,41454.98,32154.53,22658.04,98.75,0,26.99,32.4,22.41,27.39,22.61,0.84,191.25,1.65,0.13,0.45,0.29,0.66,18.25,17.46,78.75,58.12,10.35,4.56
2012-09-06,Sep,3,Summer,250,51062.14,74836.56,14168.99,98.92,0,27.05,32.48,21.65,27.32,21.62,0.78,147.31,1.88,0.13,0.3,0.2,0.7,0.22,16.42,74.44,42.47,NA,3.07
2012-09-07,Sep,3,Summer,251,50565.16,75534.48,15470.38,98.7,0,26.92,33.32,21.22,27.15,20.9,1.2,187.25,1.79,0.14,0.36,0.23,0.68,5.74,15.75,71.69,37.3,7.37,4.12
